relationshipId,type,startNode,endNode,property
1152943494839402496,leads_to,0,11,null
1152973181653352448,can_cause,0,1,null
1155224981467037699,can_cause,3,1,null
1152973181653352451,can_cause,3,2,null
1152974281164980228,may_not_capture,4,16,null
1152943494839402501,leads_to,5,8,null
1152975380676608006,contributes_to,6,8,null
1152973181653352455,can_cause,7,1,null
1152976480188235788,may_cause,12,7,null
1152975380676608013,contributes_to,13,8,null
1152976480188235790,may_cause,14,1,null
1152977579699863567,equivalent_to,15,8,null
1152930300699869201,results_in,17,21,null
1152930300699869202,results_in,18,21,null
1152943494839402515,leads_to,19,16,null
1152973181653352468,can_cause,20,1,null
1155182100513554453,results_in,21,20,null
1152943494839402518,leads_to,22,22,null
1152930300699869207,results_in,23,16,null
1152930300699869208,results_in,24,24,null
1152930300699869209,results_in,25,22,null
1152930300699869210,results_in,26,20,null
1152930300699869211,results_in,27,21,null
1152927002164985884,involves,28,50,null
1152931400211496988,evaluated_for,28,39,null
1152936897769635868,investigates,28,39,null
6917545520315498525,conducted_at,28,29,null
1152937997281263644,conducted_at,28,85,null
6917545520315498582,conducted_at,28,86,null
6917546619827126359,utilizes_data_from,28,87,null
6917568610059681832,assesses,28,40,null
1152962186537074717,mandates_data_collection_by,29,31,null
1152972082141724702,location_of_study_on_vaccination_impact,30,36,null
1152963286048702496,conducts,32,28,null
1152964385560330273,maintains,33,35,null
1152965485071958050,records_administrations_of,34,37,null
1152922604118474788,associated_with,36,40,null
1152930300699869220,results_in,36,44,null
1152931400211496996,evaluated_for,36,50,null
1152932499723124772,influences,36,184,null
6917541122268987576,impacts,36,184,null
1152942395327774756,affects,36,50,null
6917551017873637466,leads_to,36,90,null
1152958888002191396,associated_with_increased_risk_of,36,44,null
6917566411036426299,associated_with_increased_risk_of,36,59,null
6917578505664331819,reduces_risk_of,36,43,null
1152966584583585830,facilitates,38,47,null
1152967684095213606,improves,38,39,null
1152968783606841382,enhances,38,40,null
1152923703630102569,reduces,41,42,null
6917566411036426285,associated_with_increased_risk_of,44,45,null
1152969883118469166,used_to_estimate_effects_on,46,39,null
1152930300699869232,results_in,48,38,null
1152951191420796977,excluded,49,50,null
1152952290932424753,lack_data_on,49,51,null
1157428402769100850,impact_on,50,39,null
1152924803141730354,impact_on,50,40,null
1155176602955415602,impact_on,50,184,null
1152925902653358130,associated_with_reductions_in,50,44,null
6917547719338754087,experience,50,39,null
6917548818850381868,risk_of,50,44,null
6917548818850381883,risk_of,50,59,null
6917548818850381912,risk_of,50,88,null
6917548818850381913,risk_of,50,89,null
6917548818850381914,risk_of,50,90,null
6917560913478287407,benefit_from,50,47,null
6917562012989915188,concerned_about,50,52,null
1152955589467308085,best_to_evaluate,53,52,null
1152956688978935862,compared_with,54,55,null
1152957788490563638,linked_to,54,56,null
1155209588304248886,linked_to,54,57,null
1157461388117934134,linked_to,54,58,null
1152939096792891452,utilizes_data_from,60,61,null
1152959987513819198,lack_access_to_information_on,62,52,null
1152921504606847039,administered_to,63,50,null
1157426203745845311,associated_with,63,39,null
1152922604118474815,associated_with,63,40,null
1155174403932160063,associated_with,63,184,null
1152923703630102591,reduces,63,44,null
1152929201188241471,administered_during,63,50,null
6917543321292242972,is_subject_of,63,28,null
6917551017873637448,leads_to,63,72,null
6917551017873637449,leads_to,63,73,null
6917551017873637450,leads_to,63,74,null
6917551017873637451,leads_to,63,75,null
6917551017873637452,leads_to,63,76,null
6917551017873637453,leads_to,63,77,null
6917551017873637454,leads_to,63,78,null
6917551017873637455,leads_to,63,79,null
6917551017873637456,leads_to,63,80,null
6917551017873637457,leads_to,63,81,null
6917551017873637458,leads_to,63,82,null
6917551017873637459,leads_to,63,83,null
6917551017873637460,leads_to,63,84,null
1152944594351030336,investigated,64,36,null
6917552117385265223,investigated,64,71,null
1152945693862658112,found_no_significant_effect_on,64,44,null
1155197493676343360,found_no_significant_effect_on,64,59,null
1152946793374285888,found_no_significant_association_with,64,45,null
6917555415920148545,found_no_significant_difference_in,64,65,null
6917555415920148546,found_no_significant_difference_in,64,66,null
6917555415920148547,found_no_significant_difference_in,64,67,null
6917556515431776324,found_a_significant_association_with_increased,64,68,null
6917557614943404101,utilized,64,69,null
6917557614943404102,utilized,64,70,null
1152934698746380379,colleague,91,92,null
1155186498560065627,colleague,91,93,null
1157438298373750875,colleague,91,94,null
1159690098187436123,colleague,91,95,null
1161941898001121371,colleague,91,96,null
6917542221780615265,colleague,91,97,null
1152934698746380386,colleague,98,99,null
1155186498560065634,colleague,98,100,null
1157438298373750882,colleague,98,101,null
1152934698746380390,colleague,102,103,null
1155186498560065638,colleague,102,104,null
1157438298373750886,colleague,102,105,null
1152934698746380394,colleague,106,107,null
1155186498560065642,colleague,106,108,null
1157438298373750890,colleague,106,109,null
1159690098187436138,colleague,106,110,null
1152934698746380399,colleague,111,112,null
1155186498560065647,colleague,111,113,null
1157438298373750895,colleague,111,114,null
1152934698746380403,colleague,115,116,null
1155186498560065651,colleague,115,117,null
1157438298373750899,colleague,115,118,null
1152934698746380407,colleague,119,120,null
1155186498560065655,colleague,119,121,null
1152934698746380410,colleague,122,123,null
1155186498560065658,colleague,122,124,null
1157438298373750906,colleague,122,125,null
1159690098187436154,colleague,122,126,null
1161941898001121402,colleague,122,127,null
6917542221780615296,colleague,122,128,null
6917542221780615297,colleague,122,129,null
6917542221780615298,colleague,122,130,null
6917542221780615299,colleague,122,131,null
6917542221780615300,colleague,122,132,null
6917542221780615301,colleague,122,133,null
1152927002164986041,involves,185,50,null
1152927002164986042,involves,186,50,null
1152928101676613819,research_on,187,63,null